[0199] [TS: 1773208135767173900] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=cc4368c171c85e84
[0200] [TS: 1773208135767173900] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=248a48cdeaa32866
[0201] [TS: 1773208135770601000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=16c8a4c800daccce
[0202] [TS: 1773208135770601000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=33deb929bc1da8bc
[0203] [TS: 1773208135770601000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=0304766ae8742d22
[0204] [TS: 1773208135770601000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=c679a9a3f12d8c8d
[0205] [TS: 1773208135770601000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=4dfdafa6c31cef14
[0206] [TS: 1773208135770601000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=b541e33db156b47d
[0207] [TS: 1773208135770601000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=ad3a41670e970db2
[0208] [TS: 1773208135770601000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=c8c03971cf238a04
[0209] [TS: 1773208135770601000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=2a863791634dd197
[0210] [TS: 1773208135770601000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=126e88c5200e9f64
[0211] [TS: 1773208135770601000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=bd19b4980595fe53
[0212] [TS: 1773208135770601000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=2e0ced800dbb6d60
[0213] [TS: 1773208135770601000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=7fe3ff00165bdf5c
[0214] [TS: 1773208135770601000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=3cbe596f1eeffb6a
