[*] Detected Video Port: 57919
[*] Detected Aux Port: 54294
[0088] [TS: 1773208135733442900] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=46cc9e4c6392582c59c93d7a0a7c92bd
[0089] [TS: 1773208135733442900] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=ec3c41690dd598f3ada19b0d8dd22062
[0090] [TS: 1773208135733442900] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=e09fa566c51f88e3b75816dac8c6bd98
[0091] [TS: 1773208135733442900] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=4bc8c39c638c72073da9f3f8f7ecb1ce
[0092] [TS: 1773208135733442900] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=05087721d0fc5f78d6b6c752b4579657
[0093] [TS: 1773208135733608700] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=a70c12c76496c608de248150069492cc
[0094] [TS: 1773208135733608700] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=5cdbcd26906dc18da7f2c2e7eea961fc
[0095] [TS: 1773208135733608700] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=219a7fb402cb11f2db66cf946cc636f1
[0096] [TS: 1773208135733608700] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=ccca327031c8c77e95d66a16b3cba858
[0097] [TS: 1773208135733608700] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=b92dd5d649edd04cc1d76ee0230520f9
[0098] [TS: 1773208135733608700] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=c3b1ead5cf78d34fbdd474f8e3d359d6
[0099] [TS: 1773208135733608700] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=3b890d91f779ceecd71c7c55ae3b1585
[0100] [TS: 1773208135733608700] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=b850581c1ef57bfe10b5ff009fe6ff00
[0101] [TS: 1773208135733608700] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=648fcc4722400a6e030d83d7a564db69
[0102] [TS: 1773208135733608700] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=8e02acec2421994e76a9208db9c286eb
[0103] [TS: 1773208135733608700] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=aa33f281ce0f1dc01ef9aafa925f7daa
[0104] [TS: 1773208135733608700] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=0a396c8e0fa05fce9ba6aea7fdb12b5d
[0105] [TS: 1773208135733608700] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=a09e9b467f5ae724f065cbc53a8d463c
[0106] [TS: 1773208135733608700] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=27f956141e1397ecf6097373017b36cc
